date,title,trail_text,source,section,url,query,sentiment_text,news_finbert_positive_prob,news_finbert_negative_prob,news_finbert_neutral_prob,news_finbert_score,news_sentiment_label
2015-01-15,Away days: Australia v India - the fourth Test at the SCG,A lot has changed since you were allowed to take in 24 stubbies and then run onto the pitch to celebrate batsmen scoring centuries,The Guardian,Sport,https://www.theguardian.com/sport/blog/2015/jan/15/away-days-australia-india-scg,"""Commonwealth Bank""",Away days: Australia v India - the fourth Test at the SCG A lot has changed since you were allowed to take in 24 stubbies and then run onto the pitch to celebrate batsmen scoring centuries,0.052217595,0.055337507,0.8924449,-0.003119912,neutral
2015-02-03,"Dollar dives, shares soar as Reserve Bank cuts interest rate to 2.25% – as it happened",Shares hit a seven-year high as RBA cut rates by a quarter point but the dollar loses US1.5c. Follow the reaction with Greg Jericho,The Guardian,Australia news,https://www.theguardian.com/australia-news/live/2015/feb/03/reserve-bank-of-australia-interest-rate-announcement-live,"""Commonwealth Bank""","Dollar dives, shares soar as Reserve Bank cuts interest rate to 2.25% – as it happened Shares hit a seven-year high as RBA cut rates by a quarter point but the dollar loses US1.5c. Follow the reaction with Greg Jericho",0.18857007,0.60628676,0.20514314,-0.41771668,negative
2015-02-03,Reserve Bank cuts rates to 2.25% as economic outlook worsens,Weak growth and jobs threat prompts cut to record low as dollar plunges and share market soars,The Guardian,Australia news,https://www.theguardian.com/australia-news/2015/feb/03/reserve-bank-cuts-rates-to-225-as-economic-outlook-worsens,"""Commonwealth Bank""",Reserve Bank cuts rates to 2.25% as economic outlook worsens Weak growth and jobs threat prompts cut to record low as dollar plunges and share market soars,0.022435712,0.9648082,0.012756119,-0.9423725,negative
2015-02-13,Just not cricket – how Channel Nine is destroying a legacy," Channel Nine’s commentary box clique has forgotten that it is the game, not their chummy anecdotes, that should define cricket’s narrative",The Guardian,Sport,https://www.theguardian.com/sport/blog/2015/feb/13/channel-nine-destroying-cricket-legacy,"""Commonwealth Bank""","Just not cricket – how Channel Nine is destroying a legacy  Channel Nine’s commentary box clique has forgotten that it is the game, not their chummy anecdotes, that should define cricket’s narrative",0.026473837,0.16318426,0.81034195,-0.13671042,neutral
2015-02-19,Eight-team Women's Big Bash League given green light by Cricket Australia,Cricket Australia has given the go-ahead for the inaugural Women’s Big Bash League to get under way later this year,The Guardian,Sport,https://www.theguardian.com/sport/2015/feb/19/green-light-womens-big-bash-league-australia,"""Commonwealth Bank""",Eight-team Women's Big Bash League given green light by Cricket Australia Cricket Australia has given the go-ahead for the inaugural Women’s Big Bash League to get under way later this year,0.75841326,0.01486229,0.22672445,0.74355096,positive
2015-02-20,Cereal Anytime: Australia's first cereal cafe opens in Melbourne,Cafe provides breakfast food at all hours of the day aims to ‘reframe how cereal is seen’. <strong>Oliver Milman</strong> tries it out<br>,The Guardian,Life and style,https://www.theguardian.com/lifeandstyle/australia-food-blog/2015/feb/20/australias-first-cereal-cafe-opens-in-melbourne,"""Commonwealth Bank""",Cereal Anytime: Australia's first cereal cafe opens in Melbourne Cafe provides breakfast food at all hours of the day aims to ‘reframe how cereal is seen’. <strong>Oliver Milman</strong> tries it out<br>,0.1777323,0.010184785,0.81208295,0.16754752,neutral
2015-02-26,RBS chief executive Ross McEwan to hand back £1m pay incentive,Ross McEwan still expected to earn £2.7m despite declining the ‘role based’ payment which has become a common means of sidestepping bankers’ bonus caps,The Guardian,Business,https://www.theguardian.com/business/2015/feb/26/rbs-chief-executive-to-hand-back-1m-pay-incentive,"""Commonwealth Bank""",RBS chief executive Ross McEwan to hand back £1m pay incentive Ross McEwan still expected to earn £2.7m despite declining the ‘role based’ payment which has become a common means of sidestepping bankers’ bonus caps,0.3581534,0.053960994,0.5878856,0.30419242,neutral
2015-03-03,Rate cut speculation pushes Australian stock market close to seven-year high,"The S&amp;P/ASX200 soars close to 6,000 points as investors wait for the RBA’s latest decision on borrowing costs on Tuesday",The Guardian,Australia news,https://www.theguardian.com/australia-news/2015/mar/03/rate-cut-speculation-pushes-australian-stock-market-close-to-seven-year-high,"""Commonwealth Bank""","Rate cut speculation pushes Australian stock market close to seven-year high The S&amp;P/ASX200 soars close to 6,000 points as investors wait for the RBA’s latest decision on borrowing costs on Tuesday",0.4775169,0.43143052,0.09105259,0.04608637,positive
2015-03-05,Great Barrier Reef lobbying: Australian government offers junkets to journalists,Abbott government steps up its efforts to keep the reef from being listed as in danger by inviting reporters from Unesco countries on all-expenses paid visit,The Guardian,Environment,https://www.theguardian.com/environment/2015/mar/06/great-barrier-reef-lobbying-australian-government-offers-junkets-to-journalists,"""Commonwealth Bank""",Great Barrier Reef lobbying: Australian government offers junkets to journalists Abbott government steps up its efforts to keep the reef from being listed as in danger by inviting reporters from Unesco countries on all-expenses paid visit,0.7333266,0.017716259,0.2489572,0.7156104,positive
2015-03-06,"Royal commission is needed into white collar crime, Coalition senators say",Evidence of misconduct by financial planners at National Australia Bank prompts senators to push for wider inquiry into wrongdoing across financial sector,The Guardian,Australia news,https://www.theguardian.com/australia-news/2015/mar/06/royal-commission-is-needed-into-white-collar-coalition-senators-say,"""Commonwealth Bank""","Royal commission is needed into white collar crime, Coalition senators say Evidence of misconduct by financial planners at National Australia Bank prompts senators to push for wider inquiry into wrongdoing across financial sector",0.066328675,0.8433619,0.09030938,-0.7770332,negative
