date,news_sentiment_mean,news_sentiment_std,news_positive_ratio,news_negative_ratio,news_headline_volume
2015-01-15,-0.003119912,0.0,0.0,0.0,1
2015-02-03,-0.6800446,0.37098768,0.0,1.0,2
2015-02-13,-0.13671042,0.0,0.0,0.0,1
2015-02-16,-0.54375255,0.0,0.0,1.0,1
2015-02-19,0.74355096,0.0,1.0,0.0,1
2015-02-20,0.16754752,0.0,0.0,0.0,1
2015-02-26,0.30419242,0.0,0.0,0.0,1
2015-03-03,0.04608637,0.0,1.0,0.0,1
2015-03-05,0.7156104,0.0,1.0,0.0,1
2015-03-06,-0.7770332,0.0,0.0,1.0,1
2015-04-08,-0.95215464,0.0,0.0,1.0,1
2015-04-09,-0.9314383,0.0,0.0,1.0,1
2015-04-20,-0.578728,0.0,0.0,1.0,1
2015-04-21,-0.5119574,0.0,0.0,1.0,1
2015-05-05,-0.4580639,0.64462703,0.0,0.5,2
2015-05-08,-0.15533848,0.0,0.0,0.0,1
2015-05-13,0.78157276,0.0,1.0,0.0,1
2015-05-15,0.31905094,0.0,0.0,0.0,1
2015-05-19,-0.06537031,0.0,0.0,0.0,1
2015-05-20,-0.0034833401,0.0,0.0,0.0,1
2015-05-22,-0.25887066,0.0,0.0,0.0,1
2015-06-01,-0.39086515,0.0,0.0,1.0,1
2015-06-10,-0.69293714,0.0,0.0,1.0,1
2015-06-17,0.18511829,0.16739914,0.0,0.0,2
2015-07-01,0.061269872,0.0,0.0,0.0,1
2015-07-21,0.22129303,0.0,0.0,0.0,1
2015-07-31,-0.20851439,0.0,0.0,0.0,1
2015-08-05,-0.46550903,0.0,0.0,1.0,1
2015-08-07,-0.9619972,0.0,0.0,1.0,1
2015-08-09,0.19588184,0.0,0.0,0.0,1
2015-08-10,-0.928215,0.0,0.0,1.0,1
2015-08-11,-0.8705379,0.0,0.0,1.0,1
2015-08-13,-0.5948114,0.3500144,0.0,0.6666666666666666,3
2015-08-18,-0.91876787,0.0,0.0,1.0,1
2015-08-20,-0.28229296,0.0,0.0,0.0,1
2015-09-03,-0.9340098,0.0,0.0,1.0,1
2015-10-06,-0.12928453,0.0,0.0,0.0,1
2015-10-15,0.7323862,0.0,1.0,0.0,1
2015-10-19,0.26874492,0.0,1.0,0.0,1
2015-10-20,-0.31456518,0.5250859,0.0,0.3333333333333333,3
2015-10-22,-0.80909306,0.0,0.0,1.0,1
2015-10-23,-0.8486276,0.0,0.0,1.0,1
2015-11-02,-0.9281723,0.0,0.0,1.0,1
2015-11-30,0.088871464,0.0,0.0,0.0,1
2015-12-01,0.5060174,0.37572482,0.5,0.0,2
2015-12-15,-0.9472025,0.0,0.0,1.0,1
2016-01-13,-0.72088224,0.0,0.0,1.0,1
2016-02-10,-0.9596141,0.0,0.0,1.0,1
2016-02-25,0.6852951,0.0,1.0,0.0,1
2016-03-08,-0.88837844,0.0,0.0,1.0,1
2016-03-28,-0.81790704,0.0,0.0,1.0,1
2016-03-31,0.43736318,0.0,0.0,0.0,1
2016-04-07,-0.5996701,0.0,0.0,1.0,1
2016-04-08,-0.88226485,0.0,0.0,1.0,1
2016-04-15,-0.15174757,0.0,0.0,0.0,1
2016-04-16,0.10444862,0.0,0.0,0.0,1
2016-04-21,-0.95437634,0.0,0.0,1.0,1
2016-04-22,0.08570694,0.0,0.0,0.0,1
2016-05-03,-0.2578759,0.0,0.0,0.0,1
2016-05-05,-0.22802952,0.3582427,0.0,0.5,2
2016-05-09,-0.8947042,0.0,0.0,1.0,1
2016-05-10,-0.72320634,0.0,0.0,1.0,1
2016-05-17,-0.9277621,0.0,0.0,1.0,1
2016-06-08,-0.8100326,0.0,0.0,1.0,1
2016-06-19,0.5073803,0.0,1.0,0.0,1
2016-06-23,-0.75970995,0.0,0.0,1.0,1
2016-06-24,-0.95530427,0.0,0.0,1.0,1
2016-06-27,-0.28728998,0.0,0.0,1.0,1
2016-06-30,-0.13027458,0.0,0.0,0.0,1
2016-07-01,-0.6412546,0.0,0.0,1.0,1
2016-07-04,-0.94825673,0.0,0.0,1.0,1
2016-07-27,-0.88282496,0.0,0.0,1.0,1
2016-08-01,-0.6924814,0.0,0.0,1.0,1
2016-08-02,-0.81664616,0.19508564,0.0,1.0,4
2016-08-04,-0.52842474,0.0,0.0,1.0,1
2016-08-05,-0.7306795,0.0,0.0,1.0,1
2016-08-09,0.88995254,0.0,1.0,0.0,1
2016-08-10,-0.5939472,0.40589607,0.0,0.5,2
2016-08-14,-0.002245754,0.0,0.0,0.0,1
2016-08-18,-0.93734795,0.0,0.0,1.0,1
2016-08-21,0.020955458,0.0,0.0,0.0,1
2016-08-27,-0.38893032,0.0,0.0,0.0,1
2016-09-06,-0.5277777,0.0,0.0,1.0,1
2016-09-15,0.16540398,0.0,0.0,0.0,1
2016-09-16,-0.7426931,0.0,0.0,1.0,1
2016-09-26,0.13398953,0.0,0.0,0.0,1
2016-09-28,-0.09994525,0.0,0.0,1.0,1
2016-09-29,-0.9486238,0.0,0.0,1.0,1
2016-10-01,-0.88032776,0.0,0.0,1.0,1
2016-10-02,-0.50332826,0.0,0.0,1.0,1
2016-10-03,-0.24321583,0.23700298,0.0,0.0,2
2016-10-04,-0.6531463,0.39377445,0.0,0.75,4
2016-10-05,-0.8923383,0.013910354,0.0,1.0,3
2016-10-06,-0.079487376,0.0,0.0,0.0,1
2016-10-07,-0.6001968,0.0,0.0,1.0,1
2016-10-13,0.04783322,0.0,0.0,0.0,1
2016-10-17,0.12112821,0.0,0.0,0.0,1
