date,news_sentiment_mean,news_sentiment_std,news_positive_ratio,news_negative_ratio,news_headline_volume
2015-01-15,0.5719,0.0,1.0,0.0,1
2015-02-03,-0.55065,0.4587001689557133,0.0,1.0,2
2015-02-13,-0.6705,0.0,0.0,1.0,1
2015-02-16,0.0516,0.0,1.0,0.0,1
2015-02-19,0.0,0.0,0.0,0.0,1
2015-02-20,0.0,0.0,0.0,0.0,1
2015-02-26,0.8316,0.0,1.0,0.0,1
2015-03-03,-0.2732,0.0,0.0,1.0,1
2015-03-05,0.296,0.0,1.0,0.0,1
2015-03-06,-0.5423,0.0,0.0,1.0,1
2015-04-08,-0.2263,0.0,0.0,1.0,1
2015-04-09,-0.4939,0.0,0.0,1.0,1
2015-04-20,-0.5106,0.0,0.0,1.0,1
2015-04-21,-0.8225,0.0,0.0,1.0,1
2015-05-05,0.0257,1.0643371270419912,0.5,0.5,2
2015-05-08,0.4939,0.0,1.0,0.0,1
2015-05-13,-0.1027,0.0,0.0,1.0,1
2015-05-15,0.1779,0.0,1.0,0.0,1
2015-05-19,0.6249,0.0,1.0,0.0,1
2015-05-20,-0.2023,0.0,0.0,1.0,1
2015-05-22,-0.7096,0.0,0.0,1.0,1
2015-06-01,0.7269,0.0,1.0,0.0,1
2015-06-10,-0.4404,0.0,0.0,1.0,1
2015-06-17,0.58775,0.20838436841567554,1.0,0.0,2
2015-07-01,0.6908,0.0,1.0,0.0,1
2015-07-21,-0.4098,0.0,0.0,1.0,1
2015-07-31,-0.4404,0.0,0.0,1.0,1
2015-08-05,-0.4497,0.0,0.0,1.0,1
2015-08-07,-0.2023,0.0,0.0,1.0,1
2015-08-09,0.6369,0.0,1.0,0.0,1
2015-08-10,-0.872,0.0,0.0,1.0,1
2015-08-11,0.4939,0.0,1.0,0.0,1
2015-08-13,-0.2255,0.3468514235230987,0.0,0.6666666666666666,3
2015-08-18,-0.93,0.0,0.0,1.0,1
2015-08-20,-0.0258,0.0,0.0,0.0,1
2015-09-03,-0.3182,0.0,0.0,1.0,1
2015-10-06,0.7356,0.0,1.0,0.0,1
2015-10-15,0.7574,0.0,1.0,0.0,1
2015-10-19,0.3818,0.0,1.0,0.0,1
2015-10-20,0.36673333333333336,0.3594369114786813,0.6666666666666666,0.0,3
2015-10-22,-0.3182,0.0,0.0,1.0,1
2015-10-23,-0.5534,0.0,0.0,1.0,1
2015-11-02,0.5719,0.0,1.0,0.0,1
2015-11-30,0.9403,0.0,1.0,0.0,1
2015-12-01,0.688,0.07226631303726509,1.0,0.0,2
2015-12-15,-0.8074,0.0,0.0,1.0,1
2016-01-13,-0.7724,0.0,0.0,1.0,1
2016-02-10,0.3353,0.0,1.0,0.0,1
2016-02-25,-0.5106,0.0,0.0,1.0,1
2016-03-08,-0.8271,0.0,0.0,1.0,1
2016-03-28,-0.743,0.0,0.0,1.0,1
